¶	ADJcar	¶
serrer	VERinf	serrer
et	CONcoo	et
estraindre	VERinf	estreindre
,	PONfbl	,
mes	CONcoo	mais
por	PRE	por
tirer	VERinf	tirer
ne	CONcoo	ne
por	PRE	por
sachier	VERinf	sachier
ne	ADVneg	ne
les	PROper	il
porent	VERcjg	pöoir
desatachier	VERinf	desatachier
.	PONfrt	.

Molt	ADVgen	moult
ont	VERcjg	avoir
les	DETdef	le
crepons	NOMcom	crepon
estenduz	VERppe	étendre
!	PONfrt	!

“	PONpga	“
Qu'	PROint	que
est	VERcjg	estre
ce	PROdem	ce
,	PONfbl	,
Baillet	VERcjg	bailler
?	PONfrt	?

fet	VERcjg	faire
il	PROper	il
renduz	VERppe	rendre
.	PONfrt	.

Gardez	VERcjg	garder
que	CONsub	que
cil	PROdem	cel
ne	ADVneg	ne
vous	PROper	vous
eschape	VERcjg	eschaper
!	PONfrt	!

”	PONpdr	”
Adonc	ADVgen	adonc
de	PRE	de
la	DETdef	le
verge	NOMcom	verge
le	PROper	il
frape	VERcjg	fraper
,	PONfbl	,
fiert	VERcjg	ferir
et	CONcoo	et
frape	VERcjg	fraper
et	CONcoo	et
done	VERcjg	doner
granz	ADJqua	grant
cops	NOMcom	coup
,	PONfbl	,
et	CONcoo	et
li	DETdef	le
vilains	NOMcom	vilain
ne	ADVneg	ne
fu	VERcjg	estre
pas	ADVneg	pas
fols	ADJqua	fou
qu'	CONsub	que
il	PROper	il
vueille	VERcjg	vouloir
Ferrant	NOMpro	Ferran
afoler	VERinf	afoler
,	PONfbl	,
ainz	ADVgen	ainz
le	PROper	il
lest	VERcjg	laissier
assez	ADVgen	assez
reculer	VERinf	reculer
por	PRE	por
celui	PROdem	cel
lasser	VERinf	lasser
et	CONcoo	et
recroire	VERinf	recroire
.	PONfrt	.

Et	CONcoo	et
li	DETdef	le
rendus	VERppe	rendre
,	PONfbl	,
ce	PROdem	ce
poez	VERcjg	pöoir
croire	VERinf	croire
,	PONfbl	,
fu	VERcjg	estre
liez	ADJqua	lié
quant	CONsub	cant
vit	VERcjg	vëoir
Baillet	VERcjg	bailler
errant	VERppa	errer
et	CONcoo	et
il	PROper	il
vit	VERcjg	vëoir
reculer	VERinf	reculer
Ferrant	NOMpro	Ferran
.	PONfrt	.

Molt	ADVgen	moult
li	PROper	il
croist	VERcjg	croistre
li	DETdef	le
cuers	NOMcom	cuer
et	CONcoo	et
engrange	VERcjg	engrangier
.	PONfrt	.

“	PONpga	“
Baillet	VERcjg	bailler
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
voiz	VERcjg	vëoir
ci	ADVgen	ci
la	DETdef	le
grange	NOMcom	grange
!	PONfrt	!

Garde	VERcjg	garder
que	CONsub	que
l'	DETdef	le
onors	NOMcom	honneur
en	PROadv	en
soit	VERcjg	estre
tiue	VERppe	tire
!	PONfrt	!

”	PONpdr	”
Mes	CONcoo	mais
Baillés	NOMpro	Ballais
a	VERcjg	avoir
fete	VERppe	faire
la	DETdef	le
siue	PROpos	sien
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
puet	VERcjg	pöoir
mes	ADVgen	mais
ne	CONcoo	ne
ho	ADVgen	où
ne	CONcoo	ne
jo	PROper	je
,	PONfbl	,
ainz	ADVgen	ainz
areste	VERcjg	arester
sanz	PRE	sans
dire	VERinf	dire
“	PONpga	“
ho	INJ	ho
“	PONpga	“
!	PONfrt	!

D'	PRE	de
angoisse	NOMcom	angoisse
li	PROper	il
batent	VERcjg	battre
li	DETdef	le
flanc	NOMcom	flanc
.	PONfrt	.

Quant	CONsub	quand
li	DETdef	le
vilains	NOMcom	vilain
le	PROper	il
vit	VERcjg	vëoir
estanc	VERppa	être
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
puet	VERcjg	pöoir
mes	ADVgen	mais
tirer	VERinf	tirer
ne	CONcoo	ne
trere	VERinf	traire
,	PONfbl	,
“	PONpga	“
Ferrant	NOMpro	Ferran
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
or	ADVgen	or
del	PRE.DETdef	de
bien	ADVgen	bien
fere	VERinf	faire
,	PONfbl	,
gentiz	ADJqua	gentil
beste	NOMcom	beste
de	PRE	de
bone	ADJqua	bon
essonre	NOMcom	essoigne
!	PONfrt	!

”	PONpdr	”
Quant	CONsub	quand
li	DETdef	le
roncins	NOMcom	roncin
s'	PROper	soi
oï	VERcjg	öir
semondre	VERinf	semondre
,	PONfbl	,
des	PRE.DETdef	de.le
piez	NOMcom	pié
devant	ADVgen	devant
s'	PROper	soi
aert	VERcjg	aerdre
a	PRE	a
terre	NOMcom	terre
que	CONsub	que
de	PRE	de
l'	DETdef	le
un	PROind	un
des	PRE.DETdef	de.le
piez	NOMcom	pié
se	PROper	soi
desferre	VERinf	desferrer
:	PONfbl	:
le	DETdef	le
fer	NOMcom	fer
fet	VERcjg	faire
voler	VERinf	voler
contremont	ADVgen	contremont
.	PONfrt	.

Et	CONcoo	et
li	DETdef	le
vilains	NOMcom	vilain
coite	VERcjg	coitier
et	CONcoo	et
semont	VERcjg	semondre
Ferrant	NOMpro	Ferran
qui	PROrel	que
trait	VERcjg	traire
et	CONcoo	et
tire	VERcjg	tirer
fort	ADVgen	fort
,	PONfbl	,
et	CONcoo	et
Baillés	NOMpro	Ballais
arriere	ADVgen	ariere
resort	VERcjg	ressortir
.	PONfrt	.

A	PRE	a
cele	DETdem	cil
premeraine	ADJord	premerain
pointe	NOMcom	pointe
l'	PROper	il
en	PROadv	en
maine	VERcjg	manoir
de	PRE	de
cul	NOMcom	cul
et	CONcoo	et
de	PRE	de
pointe	NOMcom	pointe
vers	PRE	vers
la	DETdef	le
porte	NOMcom	porte
tout	DETind	tout
le	DETdef	le
grant	ADJqua	grant
cors	NOMcom	corps
.	PONfrt	.

Traïnant	VERppa	träiner
ausi	ADVgen	aussi
comme	CONsub	comme
.i	PROind	un
.	PONfrt	.

ours	NOMcom	ours
en	PROadv	en
menoit	VERcjg	mener
a	PRE	a
col	NOMcom	col
estendu	VERppe	étendre
et	CONcoo	et
le	DETdef	le
roncin	NOMcom	roncin
et	CONcoo	et
le	DETdef	le
rendu	NOMcom	rendu
qui	PROrel	que
molt	ADVgen	moult
dolenz	ADJqua	dolent
aprés	ADVgen	après
le	PROper	il
siut	VERcjg	sivre
.	PONfrt	.

Si	ADVgen	si
com	CONsub	come
de	PRE	de
la	DETdef	le
porte	NOMcom	porte
issir	VERinf	issir
dut	VERcjg	devoir
,	PONfbl	,
et	CONcoo	et
li	DETdef	le
renduz	VERppe	rendre
connut	VERcjg	connaître
bien	ADVgen	bien
l'	DETdef	le
uevre	NOMcom	uevre
que	CONsub	que
Baillés	NOMpro	Ballais
si	ADVgen	si
vilment	ADVgen	vilement
se	PROper	soi
prueve	VERcjg	prover
que	CONsub	que
cil	PROdem	cel
si	ADVgen	si
vilment	ADVgen	vilement
en	PROadv	en
traïne	VERcjg	träiner
,	PONfbl	,
son	DETpos	son
coutel	NOMcom	coutel
tret	VERcjg	traire
de	PRE	de
sa	DETpos	son
gaïne	NOMcom	gäine
“	PONpga	“
ne	ADVneg	ne
set	VERcjg	savoir
comment	ADVsub	comment
il	PROper	il
le	PROper	il
reskeue	VERcjg	rescourre
.	PONfrt	.

A	PRE	a
Ferrant	NOMpro	Ferran
a	VERcjg	avoir
copé	VERppe	coper
la	DETdef	le
keue	NOMcom	queue
,	PONfbl	,
se	ADVgen	si
li	PROper	il
a	VERcjg	avoir
alegié	VERppe	aleger
son	DETpos	son
fais	NOMcom	faix
.	PONfrt	.

De	PRE	de
la	DETdef	le
porte	NOMcom	porte
tout	ADVgen	tout
a	PRE	a
.i	PROcar	un
.	PONfrt	.

fais	VERppe	faire
s'	PROper	soi
en	PROadv	en
issirent	VERcjg	issir
andui	PROcar	ambedos
ensamble	ADVgen	ensemble
.	PONfrt	.

Li	DETdef	le
renduz	VERppe	rendre
fiert	VERcjg	ferir
la	DETdef	le
porte	NOMcom	porte
ensamble	ADVgen	ensemble
,	PONfbl	,
puis	ADVgen	puis
s'	PROper	soi
en	PROadv	en
repere	VERcjg	reparer
a	PRE	a
son	DETpos	son
ostel	NOMcom	ostel
.	PONfrt	.

Li	DETdef	le
vilains	NOMcom	vilain
n'	ADVneg	ne
en	PROadv	en
pot	VERcjg	pöoir
avoir	VERinf	avoir
el	PROind	el
n'	CONcoo	ne
il	PROper	il
ne	ADVneg	ne
pot	VERcjg	pöoir
pas	ADVneg	pas
desouz	ADVgen	dessous
mucier	VERinf	musser
.	PONfrt	.

Ne	ADVneg	ne
sot	VERcjg	savoir
tant	ADVgen	tant
brere	VERinf	braire
ne	CONcoo	ne
huchier	VERinf	huchier
que	CONsub	que
cil	PROdem	cel
li	PROper	il
vousist	VERcjg	vouloir
mot	NOMcom	mot
respondre	VERinf	respondre
!	PONfrt	!

Puis	ADVgen	puis
le	PROper	il
fist	VERcjg	faire
a	PRE	a
Amiens	NOMpro	Amiens
semondre	VERinf	semondre
a	PRE	a
la	DETdef	le
cort	NOMcom	cort
par	PRE	par
devant	PRE	devant
l'	DETdef	le
evesque	NOMcom	évêque
qui	PROrel	que
bien	ADVgen	bien
leur	PROper	leur
enquiert	VERcjg	enquerre
et	CONcoo	et
enpesque	VERcjg	empesquer
comment	ADVsub	comment
il	PROimp	il
lor	PROper	il
fu	VERcjg	estre
avenu	VERppe	avenir
.	PONfrt	.

Puis	ADVgen	puis
ont	VERcjg	avoir
lonc	ADJqua	lonc
tens	NOMcom	temps
le	DETdef	le
plait	NOMcom	plaid
tenu	VERppe	tenir
qu'	CONsub	que
ainz	ADVgen	ainz
ne	ADVneg	ne
lor	PROper	il
en	PROadv	en
fist	VERcjg	faire
jugement	NOMcom	jugement
.	PONfrt	.

Or	ADVgen	or
vous	PROper	vous
proi	VERcjg	prier
je	PROper	je
communement	ADVgen	communément
qu'	CONsub	que
entre	PRE	entre
vous	PROper	vous
m'	PROper	je
en	PROadv	en
dites	VERcjg	dire
le	DETdef	le
voir	NOMcom	voir
se	CONsub	se
li	DETdef	le
vilains	NOMcom	vilain
le	PROper	il
doit	VERcjg	devoir
avoir	VERinf	avoir
!	PONfrt	!

