"","type_a","type_b","type_c","type_d","total","obs_rate_a","obs_rate_b","obs_rate_c","obs_rate_d","p_value_type_a","p_value_type_b","p_value_type_c","p_value_type_d"
"F046_Gombert2ClersBodel_Berlin-257",0,5,0,4,9,0,0.555555555555556,0,0.444444444444444,0.07749,0.00361,0.08771,0.37749
"F047_Grue1_Bern-354",2,4,4,8,18,0.111111111111111,0.222222222222222,0.222222222222222,0.444444444444444,0.12564,0.46121,0.69314,0.17824
"F048_LaidChevalier_BnF-1630",1,0,1,0,2,0.5,0,0.5,0,0.80373,0.65128,0.79596,0.33381
"F049_Linceul1_BnF-12581",1,0,1,12,14,0.0714285714285714,0,0.0714285714285714,0.857142857142857,0.09812,0.09898,0.09505,1e-05
"F050_MaignienDame_Bern-354",3,2,3,2,10,0.3,0.2,0.3,0.2,0.87118,0.85279,0.86684,0.49606
"F051_MaleHonte1Guillaume_BnF-2173",3,1,1,0,5,0.6,0.2,0.2,0,0.07434,0.80626,0.80566,0.1623
"F052_MaleHonte2HuonDeCambrai_Bern-354",7,0,1,0,8,0.875,0,0.125,0,0.00029,0.23986,0.34572,0.08259
"F053_MaleHonte2HuonDeCambrai_BnF-837",5,0,0,0,5,1,0,0,0,0.00062,0.38903,0.22047,0.16065
"F054_MarcheantAsne_BnF-1630",1,0,3,1,5,0.2,0,0.6,0.2,0.81103,0.38839,0.06488,0.64186
"F055_MariEborgne1_BnF-12581",0,0,1,1,2,0,0,0.5,0.5,0.33875,0.65107,0.79891,0.79144
"F056_MellinMellot_BnF-1630",4,0,2,5,11,0.363636363636364,0,0.181818181818182,0.454545454545455,0.53191,0.15366,0.59912,0.25508
"F057_Meunier2Clers_Bern-354",4,0,4,8,16,0.25,0,0.25,0.5,0.86276,0.06636,0.8936,0.07565
"F058_Nonete2_BnF-1630",0,0,3,1,4,0,0,0.75,0.25,0.19901,0.36668,0.02941,0.79678
"F059_OueChapelain_Berlin-257",1,0,1,2,4,0.25,0,0.25,0.5,0.79298,0.3666,0.80238,0.45543
"F060_Perdris_BnF-837",3,2,5,2,12,0.25,0.166666666666667,0.416666666666667,0.166666666666667,0.87537,0.90982,0.2547,0.29221
"F061_PetVilainRutebeuf_BnF-837",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"F062_Porcelet_Bern-354",1,1,0,2,4,0.25,0.25,0,0.5,0.79118,0.8115,0.20602,0.45291
"F063_PrestreAbevete_BnF-12603",2,2,4,3,11,0.181818181818182,0.181818181818182,0.363636363636364,0.272727272727273,0.50211,0.8585,0.41581,0.86989
"F064_PrestreCrucefie_BnF-837",1,0,1,0,2,0.5,0,0.5,0,0.8026,0.64932,0.79866,0.33271
"F065_PrestreLardier_BnF-12483",8,0,7,1,16,0.5,0,0.4375,0.0625,0.03711,0.06565,0.11728,0.03729
"F066_PrestreLeu_Berlin-257",0,0,1,0,1,0,0,1,0,0.64072,0.58776,0.12982,0.65413
"F067_PrestreMoutonHaisiau_Berlin-257",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"F068_PrestreMures1Guerin_BnF-19152",2,0,0,0,2,1,0,0,0,0.03486,0.65062,0.34502,0.33308
"F069_PrestrePassion_BnF-19152",1,0,3,0,4,0.25,0,0.75,0,0.79428,0.36834,0.02951,0.20093
"F070_PrestreTeint_Berlin-257",8,0,10,11,29,0.275862068965517,0,0.344827586206897,0.379310344827586,0.98144,0.01463,0.319,0.35671
"F071_PreudomeCompereNoier_BnF-19152",4,0,1,0,5,0.8,0,0.2,0,0.01059,0.39247,0.80775,0.16427
"F072_Puis1_BnF-12581",0,0,1,0,1,0,0,1,0,0.64151,0.5884,0.13048,0.6532
"F073_PutainsLecheors_Nott-6",2,0,0,0,2,1,0,0,0,0.03583,0.64926,0.34697,0.33241
"F074_quPrestresHaisiau_Berlin-257",3,3,0,0,6,0.5,0.5,0,0,0.27423,0.0306,0.12492,0.12564
"F075_quSohaisMartin_Bern-354",1,1,3,3,8,0.125,0.125,0.375,0.375,0.33763,0.81434,0.57391,0.58782
"F076_RoiRibaud_BnF-1630",0,0,1,7,8,0,0,0.125,0.875,0.07437,0.24143,0.34575,0.00063
"F077_Saineresse_BnF-837",4,1,1,1,7,0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143,0.05622,0.80837,0.53538,0.32857
"F078_Segretain2_Berlin-257",19,4,20,9,52,0.365384615384615,0.0769230769230769,0.384615384615385,0.173076923076923,0.1306,0.08969,0.04105,0.03835
"F079_Sohais_Nott-6",8,8,0,0,16,0.5,0.5,0,0,0.03668,0.00071,0.01358,0.00813
"F080_SohaizDesvezBodel_Bern-354",0,2,0,3,5,0,0.4,0,0.6,0.2285,0.1061,0.22076,0.18065
"F081_SotChevalierGautierLeLeu_BnF-837",7,0,2,7,16,0.4375,0,0.125,0.4375,0.1296,0.06743,0.20684,0.22481
"F082_SotChevalierGautierLeLeu_Nott-6",7,0,2,7,16,0.4375,0,0.125,0.4375,0.1309,0.06487,0.20355,0.22555
"F083_TestamentAsneRutebeuf_BnF-1635",3,2,2,5,12,0.25,0.166666666666667,0.166666666666667,0.416666666666667,0.87432,0.90929,0.42584,0.42936
"F084_trAveuglesCortebarbe_BnF-12603",8,9,18,10,45,0.177777777777778,0.2,0.4,0.222222222222222,0.14194,0.48026,0.03356,0.24023
"F085_trAveuglesCortebarbe_BnF-837",10,12,13,11,46,0.217391304347826,0.260869565217391,0.282608695652174,0.239130434782609,0.38234,0.06064,0.767,0.349
"F086_trBocusDurant_BnF-837",3,2,0,1,6,0.5,0.333333333333333,0,0.166666666666667,0.27324,0.20547,0.12153,0.5235
"F087_trChanoinessesWatriquet_Ars-3525",2,4,2,0,8,0.25,0.5,0.25,0,0.84635,0.0138,0.8546,0.08037
"F088_trDamesParisWatriquetDeCouvin_Ars-3525",4,8,4,2,18,0.222222222222222,0.444444444444444,0.222222222222222,0.111111111111111,0.64481,0.00215,0.69172,0.08003
"F089_trDamesVit1_BnF-1593",0,2,2,1,5,0,0.4,0.4,0.2,0.22665,0.10696,0.47087,0.64262
"F090_Tresces1Garin_Bern-354",2,4,2,2,10,0.2,0.4,0.2,0.2,0.60619,0.03582,0.60883,0.49406
"F091_Tresces1Garin_BnF-12581",4,3,1,1,9,0.444444444444444,0.333333333333333,0.111111111111111,0.111111111111111,0.23904,0.13132,0.35022,0.21098
"F092_Tresces2_BnF-19152",4,5,7,3,19,0.210526315789474,0.263157894736842,0.368421052631579,0.157894736842105,0.53395,0.24827,0.30389,0.16971
"F093_unFemme100Chevaliers_BnF-25545",2,1,2,1,6,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0.8467,0.87939,0.84185,0.52068
"F094_Veuve_Nott-6",10,0,2,1,13,0.769230769230769,0,0.153846153846154,0.0769230769230769,8e-05,0.09458,0.40721,0.08703
"F095_VieillePalme_BnF-2173",3,0,0,1,4,0.75,0,0,0.25,0.03271,0.36643,0.20457,0.79471
"F096_VilainAsnier_BnF-19152",2,0,3,0,5,0.4,0,0.6,0,0.47431,0.38928,0.06599,0.16247
"F097_VilainBailluelBodel_BnF-837",1,2,0,2,5,0.2,0.4,0,0.4,0.80939,0.10768,0.22192,0.68675
"F098_VilainFarbuBodel_BnF-2168",1,2,0,5,8,0.125,0.25,0,0.625,0.34097,0.49743,0.07576,0.03462
"F099_VilainMire_Berlin-257",13,3,18,6,40,0.325,0.075,0.45,0.15,0.4673,0.12932,0.00648,0.03292
"F100_VilainOstelSire_Lyon-5495",0,0,1,0,1,0,0,1,0,0.63909,0.58321,0.13225,0.65591
"F101_VilainParadis_Nott-6",4,0,4,2,10,0.4,0,0.4,0.2,0.38621,0.14322,0.38345,0.49503
