"","text","obs_freq","exp_freq","p_value"
"1","03-Respon",6,7.95665544003514,0.47863
"2","11-Chanoinnes",21,17.0736564650754,0.3129
"3","20-Pommes",18,13.8827061063113,0.24444
"4","28-BourjoiseRomme",4,8.95123737003954,0.08309
"5","30-DeuxChevaliers",5,8.70259188753844,0.19078
"6","31-EnfantRosti",6,7.37648264753258,0.60528
"7","32-PovreChevalier",5,6.63054620002929,0.51507
"8","33-ChevalierEsquier",9,9.44852833504173,0.88303
"9","34-BourjoiseNarbonne",11,9.282764680041,0.56318
"10","35-ChevalierHermite",9,7.04495533753112,0.44938
"11","36-Cordouanier",4,6.29901889002782,0.34987
"12","37-Juitel",15,6.79630985503002,0.00194
"13","38-EnfantSauvaMere",8,8.61971006003807,0.8303
"14","39-EauBenoite",6,6.96207351003075,0.7122
"15","40-RicheGetaPain",8,6.96207351003075,0.68628
"16","41-ChienMescreant",9,8.45394640503734,0.84396
"17","42-Pecherresse",7,6.29901889002782,0.77384
"18","53-Merlin",13,9.282764680041,0.20619
"19","55-FlorenceRomme",25,31.3293307951384,0.22436
"20","57-Anneles",24,32.3239127251428,0.11267
"21","61-Buef",23,32.9040855176453,0.05945
"22","74-Beguine",14,8.45394640503734,0.04481
"23","Abesse",10,8.57826914628789,0.61873
"24","SaintSauveur",23,13.3854151413091,0.00691
