GALERAN	NOMpro	Galeran
alaine	NOMcom	aleine
:	PONfbl	:
S'	PROper	soi
en	PROadv	en
est	VERcjg	estre
tenue	VERppe	tenir
pour	PRE	pour
villaine	NOMcom	villaine
.	PONfrt	.

Jenne	ADJqua	jeune
fut	VERcjg	être
,	PONfbl	,
si	ADVgen	si
n'	ADVneg	ne
ot	VERcjg	avoir
filz	NOMcom	fil
ne	CONcoo	ne
fille	NOMcom	fille
.	PONfrt	.

Trop	ADVgen	trop
parler	VERinf	parler
destruit	VERcjg	détruire
et	CONcoo	et
aville	VERcjg	avillier
Ceulx	PROdem	celui
qui	PROrel	que
veulent	VERcjg	vouloir
a	PRE	a
hounour	NOMcom	honneur
vivre	VERinf	vivre
;	PONfbl	;
Par	PRE	par
trop	ADVgen	trop
parler	VERinf	parler
semble	VERcjg	sembler
l'en	PROind	loin
yvre	ADJqua	ivre
Et	CONcoo	et
acquiert	VERcjg	acquerre
l'en	PROind	loin
souvent	ADVgen	souvent
haÿne	NOMcom	haine
;	PONfbl	;
Maint	DETind	maint
ennuy	NOMcom	ennui
et	CONcoo	et
mainte	DETind	maint
ruÿne	NOMcom	ruine
Vient	VERcjg	venir
au	PRE.DETdef	a
mesdisant	VERppa	mesdire
ains	ADVgen	ains
qu'	CONsub	que
il	PROper	il
muyre	VERcjg	muirer
.	PONfrt	.

Sagement	ADVgen	sagement
met	VERcjg	metre
Damedieu	NOMpro	Damedieu
cuyre	VERinf	cuire
Les	DETdef	le
oultrages	NOMcom	outrage
qui	PROrel	que
davant	ADVgen	devant
viennent	VERcjg	venir
Aux	PRE.DETdef	à.le
oultrageulx	NOMcom	outrageux
qui	PROrel	que
ne	ADVneg	ne
se	PROper	soi
tiennent	VERcjg	tenir
D'	PRE	de
ouvrir	VERinf	ouvrir
la	DETdef	le
bouche	NOMcom	bouche
en	PRE	en
villennie	NOMcom	vilenie
.	PONfrt	.

La	DETdef	le
dame	NOMcom	dame
en	PROadv	en
deut	VERcjg	devoir
