Phelippe	NOMpro	Philippe
,	PONfbl	,
nous	PROper	nous
vous	PROper	vous
mandons	VERcjg	mander
et	CONcoo	et
commetons	VERcjg	commettre
et	CONcoo	et
chascun	PROind	chascun
de	PRE	de
vous	PROper	vous
par	PRE	par
soy	PROper	soi
que	CONsub	que
vous	PROper	vous
et	CONcoo	et
celui	PROdem	cel
de	PRE	de
vous	PROper	vous
qui	PROrel	que
en	PROadv	en
serez	VERcjg	être
requis	VERppe	requérir
ledit	DETcom	ledit
arrest	NOMcom	arrêt
selonc	PRE	selon
la	DETdef	le
teneur	NOMcom	teneur
metez	VERcjg	metre
diligaument	ADVgen	diligamment
a	PRE	a
execucion	NOMcom	exécution
deue	VERppe	devoir
en	PRE	en
la	DETdef	le
forme	NOMcom	forme
et	CONcoo	et
maniere	NOMcom	manière
que	PROrel	que
li	DETdef	le
roys	NOMcom	roi
nosire	ADJqua	nosir
le	PROper	il
nous	PROper	nous
mande	VERcjg	mander
par	PRE	par
les	DETdef	le
dites	VERppe	dire
lettres	NOMcom	lettre
,	PONfbl	,
tant	ADVgen	tant
en	PROadv	en
faites	VERcjg	faire
que	CONsub	que
par	PRE	par
vous	PROper	vous
n'	ADVneg	ne
y	PROadv	y
ait	VERcjg	avoir
deffaute	NOMcom	défaute
;	PONfbl	;
mandons	VERcjg	mander
a	PRE	a
touz	DETind	tous
nos	DETpos	notre
subgiez	NOMcom	subier
et	CONcoo	et
requerons	VERcjg	requérir
a	PRE	a
touz	DETind	tous
autres	PROind	autre
que	CONsub	que
a	PRE	a
vous	PROper	vous
et	CONcoo	et
a	PRE	a
chascun	PROind	chascun
par	PRE	par
soi	PROper	soi
en	PRE	en
ce	PROdem	ce
faisant	VERppa	faire
et	CONcoo	et
en	PRE	en
tout	DETind	tout
ce	PROdem	ce
qui	PROrel	que
en	PROadv	en
despendra	VERcjg	dépendre
obeissent	VERcjg	obéir
diligaument	ADVgen	diligamment
.	PONfrt	.

Donné	VERppe	donner
a	PRE	a
Paris	NOMpro	Paris
,	PONfbl	,
le	DETdef	le
jeudi	NOMcom	jeudi
sept	DETcar	sept
jourz	NOMcom	jour
du	PRE.DETdef	de.le
mois	NOMcom	mois
de	PRE	de
juign	NOMcom	join
,	PONfbl	,
l'	DETdef	le
an	NOMcom	an
de	PRE	de
grace	NOMcom	grâce
mil	ADJcar	mille
CCC	ADJcar	cent
et	CONcoo	et
trente	ADJcar	trente
.	PONfrt	.

Hugues	NOMpro	Hugues
de	PRE	de
Crusy	NOMpro	Crusy
,	PONfbl	,
garde	VERcjg	garder
de	PRE	de
la	DETdef	le
prevosté	NOMcom	prévôté
de	PRE	de
Paris	NOMpro	Paris
,	PONfbl	,
a	PRE	a
Vaast	NOMpro	Vast
d'	PRE	de
Angicourt	NOMpro	Angicourt
,	PONfbl	,
Jehan	NOMpro	Jean
Paris	NOMpro	Paris
,	PONfbl	,
Jehan	NOMpro	Jean
Triquot	NOMpro	Triquet
,	PONfbl	,
Pierre	NOMpro	Pierre
de	PRE	de
Laingny	NOMpro	Lainguy
,	PONfbl	,
Guillaume	NOMpro	Guillaume
de	PRE	de
la	DETdef	le
Jonchière	NOMpro	Jonchierre
,	PONfbl	,
sergans	NOMcom	sergent
a	PRE	a
cheval	NOMcom	cheval
,	PONfbl	,
Jehan	NOMpro	Jean
de	PRE	de
Breteul	NOMpro	Bretol
,	PONfbl	,
Jehan	NOMpro	Jean
de	PRE	de
Mante	NOMpro	Mante
,	PONfbl	,
Adenot	NOMpro	Adenot
Blondel	NOMpro	Blondel
,	PONfbl	,
Aubelet	NOMpro	Aubellet
de	PRE	de
la	DETdef	le
Tour	NOMcom	tour
,	PONfbl	,
sergans	NOMcom	sergent
a	PRE	a
verge	NOMcom	verge
,	PONfbl	,
et	CONcoo	et
a	PRE	a
touz	DETind	tous
autres	ADJind	autre
sergens	NOMcom	sergent
,	PONfbl	,
tant	ADVgen	tant
de	PRE	de
cheval	NOMcom	cheval
comme	CONsub	comme
a	PRE	a
verge	NOMcom	verge
dou	PRE.DETdef	de.le
Chastelet	NOMpro	Chastelet
de	PRE	de
Paris	NOMpro	Paris
,	PONfbl	,
salut	VERcjg	salüer
.	PONfrt	.

Nous	PROper	nous
avons	VERcjg	avoir
receues	VERppe	recevoir
les	DETdef	le
lettres	NOMcom	lettre
dou	PRE.DETdef	de.le
roy	NOMcom	roi
noseignieur	NOMcom	noseignier
contenans	VERppa	contenir
la	DETdef	le
fourme	NOMcom	forme
qui	PROrel	que
s'	PROper	soi
ensuit	VERcjg	ensuivre
:“Philippus	NOMpro	<unk>
,	PONfbl	,
Dei	NOMpro	Dieu
gratia	ETR	Gracïa
Francorum	ETR	Françarum
rex	NOMcom	roi
,	PONfbl	,
Preposito	ETR	prepositu
Parisiensi	NOMpro	Parisie
,	PONfbl	,
...	PONfrt	.
salutem	ETR	Salutem
.	PONfrt	.

...	PONfrt	.
Datum	ETR	Datum
Parisius	ETR	parisis
,	PONfbl	,
in	PRE	en
Parlamento	ETR	parlement
nostro	ETR	notro
,	PONfbl	,
die	ETR	dire
tercia	ETR	TerçIA
junii	ETR	juni
,	PONfbl	,
anno	ETR	annus
Domini	ETR	dominus
millesimo	ETR	millime
trecentesimo	ETR	tracentismo
tricesimo.”Par	VERcjg	tricemorier
la	DETdef	le
vertu	NOMcom	vertu
des	PRE.DETdef	de.le
queles	DETrel	quel
lettres	NOMcom	lettre
,	PONfbl	,
nous	PROper	nous
vous	PROper	vous
mandons	VERcjg	mander
et	CONcoo	et
commettons	VERcjg	commettre
et	CONcoo	et
a	PRE	a
chascun	PROind	chascun
de	PRE	de
vous	PROper	vous
par	PRE	par
soy	PROper	soi
que	CONsub	que
vous	PROper	vous
l'	PROper	il
arrest	VERcjg	ardre
dont	PROrel	dont
mencion	NOMcom	mention
est	VERcjg	estre
faite	VERppe	faire
es	PRE.DETdef	en.le
dites	VERppe	dire
lettres	NOMcom	lettre
metés	VERppe	mettre
diligenment	ADVgen	diligemment
a	PRE	a
execucion	NOMcom	exécution
deue	VERppe	devoir
de	PRE	de
point	NOMcom	point
en	PRE	en
point	NOMcom	point
selon	PRE	selon
la	DETdef	le
fourme	NOMcom	forme
et	CONcoo	et
teneur	NOMcom	teneur
en	PRE	en
la	DETdef	le
maniere	NOMcom	manière
que	PROrel	que
li	DETdef	le
diz	VERppe	dire
noseignieur	NOMcom	noseignier
li	DETdef	le
roys	NOMcom	roi
le	PROper	il
nous	PROper	nous
mande	VERcjg	mander
,	PONfbl	,
tant	ADVgen	tant
en	PROadv	en
faites	VERcjg	faire
que	CONsub	que
par	PRE	par
vous	PROper	vous
n'	ADVneg	ne
i	PROadv	i
ait	VERcjg	avoir
deffaute	NOMcom	défaute
;	PONfbl	;
mandons	VERcjg	mander
a	PRE	a
touz	DETind	tous
nos	DETpos	notre
subgiez	NOMcom	subier
et	CONcoo	et
requerons	VERcjg	requérir
a	PRE	a
touz	DETind	tous
autres	PROind	autre
que	CONsub	que
a	PRE	a
vous	PROper	vous
et	CONcoo	et
a	PRE	a
chascun	PROind	chascun
de	PRE	de
vous	PROper	vous
en	PRE	en
ce	DETdem	ce
faisant	VERppa	faire
obeissent	VERcjg	obéir
diligenment	ADVgen	diligemment
.	PONfrt	.

Donné	VERppe	donner
a	PRE	a
Paris	NOMpro	Paris
,	PONfbl	,
le	DETdef	le
vendredi	NOMcom	vendredi
aprés	PRE	après
la	DETdef	le
feste	NOMcom	fête
dou	PRE.DETdef	de.le
Saint	ADJqua	saint
Sacrement	NOMpro	Sacrement
,	PONfbl	,
l'	DETdef	le
an	NOMcom	an
de	PRE	de
grace	NOMcom	grâce
mil	ADJcar	mille
trois	ADJcar	trois
cens	ADJcar	cent
et	CONcoo	et
trente	ADJcar	trente
.	PONfrt	.

L'	DETdef	le
an	NOMcom	an
de	PRE	de
grace	NOMcom	grâce
mil	ADJcar	mille
trois	ADJcar	trois
cens	ADJcar	cent
et	CONcoo	et
trente	ADJcar	trente
,	PONfbl	,
le	DETdef	le
vendredi	NOMcom	vendredi
aprés	PRE	après
la	DETdef	le
feste	NOMcom	fête
dou	PRE.DETdef	de.le
Saint	ADJqua	saint
Sacrement	NOMpro	Sacrement
Nostre	DETpos	notre
Seignieur	NOMcom	seigneur
,	PONfbl	,
nous	PROper	nous
tesmoingnerent	VERcjg	tesmoignier
et	CONcoo	et
raporterent	VERcjg	rapporter
par	PRE	par
leurs	DETpos	leur
sermens	NOMcom	serment
Adenot	NOMpro	Adenot
Blondel	NOMpro	Blondel
,	PONfbl	,
Jehan	NOMpro	Jean
de	PRE	de
Mante	NOMpro	Mante
et	CONcoo	et
Ansoult	NOMpro	Ansoult
d'	PRE	de
Angicourt	NOMpro	Angicourt
,	PONfbl	,
sergans	NOMcom	sergent
a	PRE	a
verge	NOMcom	verge
dou	PRE.DETdef	de.le
Chastelet	NOMpro	Chastelet
de	PRE	de
Paris	NOMpro	Paris
,	PONfbl	,
que	PROrel	que
par	PRE	par
la	DETdef	le
vertu	NOMcom	vertu
de	PRE	de
la	DETdef	le
commission	NOMcom	commission
faite	VERppe	faire
a	PRE	a
eus	PROper	eux
,	PONfbl	,
parmi	PRE	parmi
la	DETrel	lequel
quelle	PROrel	quel
ce	DETdem	ce
present	ADJqua	présent
rapport	NOMcom	rapport
est	VERcjg	estre
ennexé	VERppe	anner
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
faire	VERinf	faire
et	CONcoo	et
acomplir	VERinf	accomplir
ce	PROdem	ce
que	PROrel	que
mandé	VERppe	mander
et	CONcoo	et
commis	VERppe	commettre
leur	PROper	leur
estoit	VERcjg	estre
par	PRE	par
la	DETdef	le
dite	VERppe	dire
commission	NOMcom	commission
,	PONfbl	,
il	PROper	il
furent	VERcjg	estre
,	PONfbl	,
le	DETdef	le
dit	VERppe	dire
jour	NOMcom	jour
,	PONfbl	,
a	PRE	a
heure	NOMcom	heure
de	PRE	de
vespres	NOMcom	vespre
,	PONfbl	,
a	PRE	a
Saint	ADJqua	saint
Germain	NOMpro	Germain
des	PRE.DETdef	de.le
Prez	NOMcom	pré
,	PONfbl	,
et	CONcoo	et
la	ADVgen	là
trouverent	VERcjg	trouver
l'	DETdef	le
abbé	NOMcom	abbé
de	PRE	de
Saint	ADJqua	saint
Germain	NOMpro	Germain
et	CONcoo	et
le	DETdef	le
prevost	NOMcom	prévôt
d'	PRE	de
ice	DETdem	ice
lieu	NOMcom	lieu
,	PONfbl	,
ou	PRE.DETdef	en.le
lieu	NOMcom	lieu
ou	PROrel	où
il	PROper	il
tenoient	VERcjg	tenir
et	CONcoo	et
ont	VERcjg	avoir
acoustumé	VERppe	accoutumer
de	PRE	de
tenir	VERinf	tenir
leurs	DETpos	leur
plaiz	NOMcom	plaid
.	PONfrt	.

Au	PRE.DETdef	a
quiex	PROrel	quel
il	PROper	il
firent	VERcjg	faire
commandement	NOMcom	commandement
de	PRE	de
par	PRE	par
le	DETdef	le
roy	NOMcom	roi
et	CONcoo	et
de	PRE	de
par	PRE	par
nous	PROper	nous
que	CONsub	que
,	PONfbl	,
lundi	NOMcom	lundi
prochain	ADJqua	prochain
,	PONfbl	,
a	PRE	a
heure	NOMcom	heure
de	PRE	de
prime	NOMcom	prim
,	PONfbl	,
il	PROper	il
restablissent	VERcjg	rétablir
ou	CONcoo	o
restituent	VERcjg	restituer
ou	CONcoo	o
facent	VERcjg	faire
restituer	VERinf	restituer
et	CONcoo	et
restablir	VERinf	rétablir
aus	PRE.DETdef	à.le
religieus	NOMcom	religieux
de	PRE	de
Saint	ADJqua	saint
Magloire	NOMpro	Magloire
de	PRE	de
Paris	NOMpro	Paris
,	PONfbl	,
selon	PRE	selon
la	DETdef	le
teneur	NOMcom	teneur
d'	PRE	de
un	DETndf	un
arrest	NOMcom	arrêt
ou	CONcoo	o
jugié	VERppe	jugier
donné	VERppe	donner
en	PRE	en
la	DETdef	le
court	NOMcom	cour
du	PRE.DETdef	de.le
roy	NOMcom	roi
noseignieur	NOMcom	noseignier
pour	PRE	pour
les	DETdef	le
diz	NOMcom	dit
religieus	ADJqua	religïos
contre	PRE	contre
le	DETdef	le
dit	VERppe	dire
abbé	NOMcom	abbé
,	PONfbl	,
Jehan	NOMpro	Jean
le	DETdef	le
Forestier	NOMpro	Forestier
,	PONfbl	,
leur	DETpos	leur
sergant	NOMcom	sergent
,	PONfbl	,
ou	PRE.DETdef	en.le
lieu	NOMcom	lieu
ou	PROrel	où
il	PROper	il
fu	VERcjg	estre
resqueus	PRE.PROrel	re.lequel
aus	PRE.DETdef	à.le
diz	NOMcom	dit
religieus	ADJqua	religïos
de	PRE	de
Saint	ADJqua	saint
Magloire	NOMpro	Magloire
en	PRE	en
la	DETdef	le
ville	NOMcom	ville
d'	PRE	de
Issy	NOMpro	Issy
;	PONfbl	;
et	CONcoo	et
avecques	PRE	avec
ce	PROdem	ce
,	PONfbl	,
que	CONsub	que
il	PROper	il
feissent	VERcjg	faire
gré	NOMcom	gré
et	CONcoo	et
satisfacion	NOMcom	satisfation
aus	PRE.DETdef	à.le
diz	NOMcom	dit
religieus	ADJqua	religïos
de	PRE	de
Saint	ADJqua	saint
Magloire	NOMpro	Magloire
de	PRE	de
mil	DETcar	mille
livr	NOMcom	livre
.	PONfrt	.

de	PRE	de
tour	NOMcom	tour
.	PONfrt	.

de	PRE	de
la	DETdef	le
monnoie	NOMcom	monnaie
courant	VERppa	courir
devant	PRE	devant
Pasques	NOMpro	Pasques
,	PONfbl	,
et	CONcoo	et
au	PRE.DETdef	a
gardien	NOMcom	gardin
des	PRE.DETdef	de.le
dizreligieus	ADJqua	direligïos
de	PRE	de
soixante	DETcar	soixante
livr	NOMcom	livre
.	PONfbl	.
,	PONfbl	,
et	CONcoo	et
a	PRE	a
Colin	NOMpro	Colin
et	CONcoo	et
Perrin	NOMpro	Perrin
de	PRE	de
Vaux	NOMpro	Vake
,	PONfbl	,
freres	NOMcom	frère
dou	PRE.DETdef	de.le
dit	VERppe	dire
gardien	NOMcom	gardin
,	PONfbl	,
a	PRE	a
chascun	PROind	chascun
de	PRE	de
vint	DETcar	vingt
livr	NOMcom	livre
.	PONfrt	.

tour	NOMcom	tour
.	PONfbl	.
,	PONfbl	,
touz	PROind	tous
de	PRE	de
la	DETdef	le
dite	VERppe	dire
monnoie	NOMcom	monnaie
,	PONfbl	,
en	PRE	en
quoy	PROrel	quoi
il	PROper	il
estoient	VERcjg	être
et	CONcoo	et
avoient	VERcjg	avoir
esté	VERppe	être
condempnez	VERppe	condamner
envers	PRE	envers
les	DETdef	le
dessus	ADVgen	dessus
nommés	VERppe	nommer
par	PRE	par
le	DETdef	le
dit	VERppe	dire
arrest	VERcjg	ardre
ou	CONcoo	o
jugié	VERppe	jugier
.	PONfrt	.

Donné	VERppe	donner
a	VERcjg	avoir
la	DETdef	le
relacion	NOMcom	relacïon
des	PRE.DETdef	de.le
diz	VERppe	dire
sergans	NOMcom	sergent
,	PONfbl	,
l'	DETdef	le
an	NOMcom	an
et	CONcoo	et
le	DETdef	le
vendredi	NOMcom	vendredi
dessus	ADVgen	dessus
diz	VERppe	dire
.	PONfrt	.

Du	PRE.DETdef	de.le
commandement	NOMcom	commandement
de	PRE	de
nostre	DETpos	notre
mestre	NOMcom	maistre
le	DETdef	le
prevost	NOMcom	prévôt
de	PRE	de
Paris	NOMpro	Paris
et	CONcoo	et
par	PRE	par
la	DETdef	le
vertu	NOMcom	vertu
d'	PRE	de
un	DETndf	un
arrest	NOMcom	arrêt
ou	CONcoo	o
jugié	VERppe	jugier
donné	VERppe	donner
ou	PRE.DETdef	en.le
Parlement	NOMcom	parlement
du	PRE.DETdef	de.le
roy	NOMcom	roi
noseigneur	NOMcom	noseigneur
pour	PRE	pour
les	DETdef	le
religieus	ADJqua	religïos
de	PRE	de
Saint	ADJqua	saint
Magloire	NOMpro	Magloire
de	PRE	de
Paris	NOMpro	Paris
et	CONcoo	et
contre	PRE	contre
vous	PROper	vous
,	PONfbl	,
nous	PROper	nous
vous	PROper	vous
commandons	VERcjg	commander
de	PRE	de
par	PRE	par
le	DETdef	le
dit	VERppe	dire
nostre	DETpos	notre
seigneur	NOMcom	seigneur
le	DETdef	le
roy	NOMcom	roi
et	CONcoo	et
de	PRE	de
par	PRE	par
nostre	DETpos	notre
dit	VERppe	dire
mestre	NOMcom	maistre
le	DETdef	le
prevost	NOMcom	prévôt
que	PROrel	que
jeudi	NOMcom	jeudi
prochein	ADJqua	prochain
,	PONfbl	,
a	PRE	a
heure	NOMcom	heure
de	PRE	de
prime	NOMcom	prim
,	PONfbl	,
vous	PROper	vous
restablissiez	VERcjg	rétablir
et	CONcoo	et
restituez	VERcjg	restiter
ou	CONcoo	o
faciez	VERcjg	faire
restablir	VERinf	rétablir
et	CONcoo	et
restituer	VERinf	restituer
aus	PRE.DETdef	à.le
diz	NOMcom	dit
religieus	ADJqua	religïos
de	PRE	de
Saint	ADJqua	saint
Magloire	NOMpro	Magloire
ou	CONcoo	o
a	PRE	a
leurs	DETpos	leur
genz	NOMcom	gent
pour	PRE	pour
eus	PROper	eux
Jehan	NOMpro	Jean
le	DETdef	le
Forestier	NOMpro	Forestier
,	PONfbl	,
vostre	DETpos	vostre
sergant	NOMcom	sergent
,	PONfbl	,
en	PRE	en
la	DETdef	le
juridiction	NOMcom	juridiction
que	PROrel	que
les	DETdef	le
diz	NOMcom	dit
religieus	ADJqua	religïos
ont	VERcjg	avoir
en	PRE	en
la	DETdef	le
ville	NOMcom	ville
d'	PRE	de
Yssi	NOMpro	Issis
,	PONfbl	,
au	PRE.DETdef	a
lieu	NOMcom	lieu
ou	PROrel	où
il	PROper	il
fu	VERcjg	estre
resqueus	VERppe	rescorre
de	PRE	de
par	PRE	par
vous	PROper	vous
et	CONcoo	et
par	PRE	par
vos	DETpos	votre
genz	NOMcom	gent
aus	PRE.DETdef	à.le
genz	NOMcom	gent
des	PRE.DETdef	de.le
diz	NOMcom	dit
religieus	ADJqua	religïos
,	PONfbl	,
pour	PRE	pour
punir	VERinf	ponnir
du	PRE.DETdef	de.le
fait	NOMcom	fait
pour	PRE	pour
le	OUT	le
quel	PROrel.PROper	que.le
ill'avoient	VERcjg	illuever
prins	VERppe	prendre
,	PONfbl	,
selonc	PRE	selon
la	DETdef	le
teneur	NOMcom	teneur
du	PRE.DETdef	de.le
dit	VERppe	dire
arrest	VERcjg	ardre
ou	CONcoo	o
jugié	VERppe	jugier
.	PONfrt	.

A	PRE	a
touz	DETind	tous
ceus	PROdem	cil
qui	PROrel	que
ces	DETdem	ce
lettres	NOMcom	lettre
verront	VERcjg	vëoir
,	PONfbl	,
Hugues	NOMpro	Hugues
de	PRE	de
Crusy	NOMpro	Crusy
,	PONfbl	,
garde	VERcjg	garder
de	PRE	de
la	DETdef	le
prevosté	NOMcom	prévôté
de	PRE	de
Paris	NOMpro	Paris
,	PONfbl	,
salut	VERcjg	salüer
.	PONfrt	.

Sachent	VERcjg	savoir
tuit	PROind	tot
que	CONsub	que
pardevant	PRE	pardevant
Jehan	NOMpro	Jean
de	PRE	de
Lieuviller	NOMpro	Lievillier
et	CONcoo	et
Gile	NOMpro	Gilles
Plaisance	NOMpro	Plaisance
,	PONfbl	,
clers	ADJqua	cler
notaires	NOMcom	notaire
jurez	VERppe	jurer
,	PONfbl	,
establiz	VERppe	établir
de	PRE	de
par	PRE	par
nostre	DETpos	notre
seignieur	NOMcom	seignieur
le	DETdef	le
roy	NOMcom	roi
ou	PRE.DETdef	en.le
Chastelet	NOMpro	Chastelet
de	PRE	de
Paris	NOMpro	Paris
,	PONfbl	,
au	PRE.DETdef	a
quels	PROrel	quel
nous	PROper	nous
adjoustons	VERcjg	adjouter
pleniere	ADJqua	plenier
foy	NOMcom	foi
en	PRE	en
ce	DETdem	ce
cas	NOMcom	cas
et	CONcoo	et
en	PRE	en
gregnieur	NOMcom	graindre
,	PONfbl	,
especialment	ADVgen	espécialement
quant	CONsub	cant
a	PRE	a
ce	PROdem	ce
qui	PROrel	que
s'	PROper	soi
ensuit	VERcjg	ensuivre
faire	VERinf	faire
,	PONfbl	,
oïr	VERinf	öir
et	CONcoo	et
a	PRE	a
nous	PROper	nous
rapporter	VERinf	rapporter
de	PRE	de
par	PRE	par
nous	PROper	nous
et	CONcoo	et
en	PRE	en
lieu	NOMcom	lieu
de	PRE	de
nous	PROper	nous
commiz	VERppe	commettre
,	PONfbl	,
deputez	VERppe	dépouter
et	CONcoo	et
envoiez	VERppe	envoiier
,	PONfbl	,
furent	VERcjg	estre
presenz	ADJqua	présent
,	PONfbl	,
personelment	ADVgen	personnellement
establiz	VERppe	établir
,	PONfbl	,
le	DETdef	le
lundi	NOMcom	lundi
onziesme	ADJord	onzieme
jour	NOMcom	jour
dou	PRE.DETdef	de.le
mois	NOMcom	mois
de	PRE	de
juing	NOMcom	jüin
,	PONfbl	,
l'	DETdef	le
an	NOMcom	an
de	PRE	de
grace	NOMcom	grâce
mil	ADJcar	mille
trois	ADJcar	trois
cens	ADJcar	cent
et	CONcoo	et
trente	ADJcar	trente
,	PONfbl	,
environ	PRE	environ
heure	NOMcom	heure
de	PRE	de
prime	NOMcom	prim
,	PONfbl	,
en	PRE	en
la	DETdef	le
ville	NOMcom	ville
d'	PRE	de
Issy	NOMpro	Issy
,	PONfbl	,
en	PRE	en
une	DETndf	un
place	NOMcom	place
qui	PROrel	que
