MAISTRE	NOMcom	maistre
peu	ADVgen	peu
d'	PRE	de
eure	NOMcom	heure
Dieu	NOMpro	Dieu
labeure	VERcjg	labourer
!	PONfrt	!

S'	CONsub	se
ilescouvientque	ADVgen	illouvient
je	PROper	je
m'	PROper	je
aplicque	VERcjg	appliquer
a	PRE	a
bouter	VERinf	boter
avant	PRE	avant
ma	DETpos	mon
praticque	NOMcom	pratique
,	PONfbl	,
on	PROind	on
ne	ADVneg	ne
sçaura	VERcjg	savoir
trouver	VERinf	trouver
mon	DETpos	mon
per	NOMcom	pair
.	PONfrt	.

GUILLEMETTE	NOMpro	Guillemet
Par	PRE	par
saint	ADJqua	saint
Jaques	NOMpro	Jacques
,	PONfbl	,
non	ADVneg	non
de	PRE	de
tromper	VERinf	tromper
:	PONfbl	:
vous	PROper	vous
en	PROadv	en
estes	VERcjg	estre
ung	DETndf	un
fin	NOMcom	fin
droit	ADJqua	droit
maistre	NOMcom	maître
.	PONfrt	.

PATHELIN	NOMcom	patilin
Par	PRE	par
celluy	DETdem	cil
Dieu	NOMpro	Dieu
qui	PROrel	que
me	PROper	je
fist	VERcjg	faire
naistre	VERinf	naître
,	PONfbl	,
mais	CONcoo	mais
de	PRE	de
droitte	ADJqua	droit
advocasserie	NOMcom	avocasserie
!	PONfrt	!

GUILLEMETTE	VERcjg	guillement
Par	PRE	par
ma	DETpos	mon
foy	NOMcom	foi
,	PONfbl	,
mais	CONcoo	mais
de	PRE	de
tromperie	NOMcom	tromperie
!	PONfrt	!

Combien	ADVint	combien
vrayement	ADVgen	vraiment
je	PROper	je
m'	PROper	je
enadvise	VERcjg	enaviser
,	PONfbl	,
quant	CONsub	cant
,	PONfbl	,
a	PRE	a
vray	ADJqua	vrai
dire	VERinf	dire
,	PONfbl	,
sans	PRE	sans
clergise	NOMcom	clergise
et	CONcoo	et
sans	PRE	sans
sens	NOMcom	sens
naturel	ADJqua	naturel
,	PONfbl	,
vous	PROper	vous
estes	VERcjg	estre
tenu	VERppe	tenir
l'	DETdef	le
une	PROind	un
des	PRE.DETdef	de.le
chaudes	ADJqua	chaut
testes	NOMcom	tête
qui	PROrel	que
soit	VERcjg	estre
en	PRE	en
toute	DETind	tout
la	DETdef	le
parroisse	NOMcom	paroisse
!	PONfrt	!

PATHELIN	NOMcom	patilin
Il	PROimp	il
n'	ADVneg	ne
y	PROadv	y
a	VERcjg	avoir
nul	PROind	nul
qui	PROrel	que
se	PROper	soi
