Signor	NOMcom	seigneur
escouter	VERinf	escouter
.II	PROcar	deux
.	PONfrt	.

dames	NOMcom	dame
que	PROrel	que
j'	PROper	je
oï	VERcjg	öir
parler	VERinf	parler
.	PONfrt	.

Eles	PROper	elle
estoient	VERcjg	être
.II	PROcar	deux
.	PONfrt	.

serours	NOMcom	soeur
;	PONfbl	;
ensamble	ADVgen	ensemble
parloient	VERcjg	parler
d'	PRE	de
amors	NOMcom	amor
.	PONfrt	.

Les	DETdef	le
dames	NOMcom	dame
erent	VERcjg	être
de	PRE	de
parage	NOMcom	parage
,	PONfbl	,
cascune	PROind	chacun
estoit	VERcjg	estre
et	CONcoo	et
bele	ADJqua	bel
et	CONcoo	et
sage	ADJqua	sage
.	PONfrt	.

L'	DETdef	le
aisnee	NOMcom	aisnie
d'	PRE	de
une	DETndf	un
amor	NOMcom	amor
parloit	VERcjg	parler
a	PRE	a
sa	DETpos	son
seror	NOMcom	seror
,	PONfbl	,
que	PROrel	que
molt	ADVgen	moult
amoit	VERcjg	amer
,	PONfbl	,
qui	PROrel	que
fu	VERcjg	estre
ja	ADVgen	ja
entre	PRE	entre
.II	PROcar	deux
.	PONfrt	.

enfans	NOMcom	enfant
,	PONfbl	,
bien	ADVgen	bien
avoit	VERcjg	avoir
passé	VERppe	passer
.II	PROcar	deux
.	PONfrt	.

cens	DETcar	cent
ans	NOMcom	an
,	PONfbl	,
mais	CONcoo	mais
uns	DETndf	un
boins	ADJqua	bon
clers	NOMcom	clerc
li	PROper	il
avoit	VERcjg	avoir
dit	VERppe	dire
,	PONfbl	,
qui	PROrel	que
l'	PROper	il
avoit	VERcjg	avoir
leü	VERppe	lire
en	PRE	en
escrit	NOMcom	écrit
.	PONfrt	.

Ele	PROper	elle
commence	VERcjg	commencer
avenanment	ADVgen	avenamment
.	PONfrt	.

Or	ADVgen	or
oiiés	VERcjg	ouïr
son	DETpos	son
commencement	NOMcom	commencement
.	PONfrt	.

Uns	DETndf	un
rois	NOMcom	roi
estoit	VERcjg	estre
issus	VERppe	issir
d'	PRE	de
Espaigne	NOMpro	Espagne
;	PONfbl	;
de	PRE	de
chevaliers	NOMcom	chevalier
ot	VERcjg	avoir
grant	ADJqua	grant
compaigne	NOMcom	compagne
.	PONfrt	.

O	PRE	o
sa	DETpos	son
nef	NOMcom	nef
ot	VERcjg	avoir
la	DETdef	le
mer	NOMcom	mer
passee	VERppe	passer
,	PONfbl	,
en	PRE	en
Galisse	NOMpro	Galisse
fu	VERcjg	estre
arivee	VERppe	arriver
.	PONfrt	.

Felis	NOMcom	félis
ot	VERcjg	avoir
non	NOMcom	nom
,	PONfbl	,
si	ADVgen	si
fu	VERcjg	estre
paiiens	ADJqua	païen
,	PONfbl	,
mer	NOMcom	mer
ot	VERcjg	avoir
passé	VERppe	passer
sor	PRE	sor
crestiiens	NOMcom	chrétien
por	PRE	por
el	PRE.DETdef	en
païs	NOMcom	päis
la	PROper	il
proie	NOMcom	proie
prendre	VERinf	prendre
et	CONcoo	et
les	DETdef	le
viles	NOMcom	ville
livrer	VERinf	livrer
a	PRE	a
cendre	NOMcom	cendre
.	PONfrt	.

Un	DETndf	un
mois	NOMcom	mois
entier	ADJqua	entier
et	CONcoo	et
.XV	DETcar	quinze
.	PONfrt	.

dis	NOMcom	di
sejorna	VERcjg	sejorner
li	DETdef	le
rois	NOMcom	roi
u	PRE.DETdef	en.le
païs	NOMcom	päis
;	PONfbl	;
ne	ADVneg	ne
fu	VERcjg	estre
nus	DETind	nul
jors	NOMcom	jour
k'	CONsub	que
o	PRE	o
sa	DETpos	son
maisnie	NOMcom	maisnie
ne	ADVneg	ne
fust	VERcjg	estre
li	DETdef	le
rois	NOMcom	roi
en	PRE	en
chevaucie	NOMcom	chevaucie
.	PONfrt	.

Viles	NOMcom	ville
reuboit	VERcjg	rover
,	PONfbl	,
avoirs	VERinf	avoir
praoit	VERcjg	prier
et	CONcoo	et
a	PRE	a
ses	DETpos	son
nés	NOMcom	nef
tot	PROind	tot
conduisoit	VERcjg	conduire
.	PONfrt	.

De	PRE	de
.XV	PROcar	quinze
.	PONfrt	.

liues	NOMcom	lieue
el	PRE.DETdef	en
rivache	NOMcom	rivache
ne	ADVneg	ne
remest	VERcjg	remanoir
ainc	ADVgen	ainc
ne	CONcoo	ne
bués	NOMcom	buef
ne	CONcoo	ne
vace	NOMcom	vace
,	PONfbl	,
ne	CONcoo	ne
castel	NOMcom	château
ne	CONcoo	ne
vile	NOMcom	vile
en	PRE	en
estant	VERppa	être
;	PONfbl	;
vilains	NOMcom	vilain
n'	ADVneg	ne
i	PROadv	i
va	VERcjg	aler
son	DETpos	son
boef	NOMcom	boeuf
querant	VERppa	querre
.	PONfrt	.

Es	ADVgen	es
vos	PROper	vos
le	DETdef	le
païs	NOMcom	päis
tout	ADVgen	tout
destruit	VERppe	détruire
,	PONfbl	,
paiien	NOMcom	païen
en	PROadv	en
ont	VERcjg	avoir
joie	NOMcom	joie
et	CONcoo	et
deduit	NOMcom	deduit
.	PONfrt	.

Donc	ADVgen	donc
s'	PROper	soi
en	PROadv	en
vaut	VERcjg	valoir
li	DETdef	le
rois	NOMcom	roi
repairier	VERinf	repairer
.	PONfrt	.

Ses	DETpos	son
nés	NOMcom	nef
commanda	VERcjg	commander
a	PRE	a
cargier	VERinf	charger
,	PONfbl	,
et	CONcoo	et
apele	VERcjg	apeler
de	PRE	de
ses	DETpos	son
fouriers	NOMcom	fourrier
dusqu'a	ADVgen	doux
.XL	PROcar	quarante
.	PONfrt	.

cevaliers	NOMcom	chevalier
:	PONfbl	:
“	PONpga	“
Esranmant	ADVgen	esranment
,	PONfbl	,
fait	VERcjg	faire
il	PROper	il
,	PONfbl	,
vos	PROper	vos
armés	VERcjg	armer
!	PONfrt	!

Nos	PROper	nos
cargerons	VERcjg	charger
sans	PRE	sans
vos	PROper	vos
assés	ADVgen	assez
.	PONfrt	.

Alés	VERcjg	aller
lassus	ADVgen	lassus
en	PRE	en
ces	DETdem	ce
chemins	NOMcom	chemin
gaitier	VERinf	gaitier
por	PRE	por
reuber	VERinf	rober
pelerins	NOMcom	pèlerin
.	PONfbl	.
”	PONpdr	”
Et	CONcoo	et
cil	PROdem	cel
en	PROadv	en
vont	VERcjg	aler
en	PRE	en
la	DETdef	le
montaigne	NOMcom	montagne
,	PONfbl	,
gardent	VERcjg	garder
aval	ADVgen	aval
parmi	PRE	parmi
la	DETdef	le
plaigne	NOMcom	plaigne
,	PONfbl	,
pelerins	NOMcom	pèlerin
voient	VERcjg	vëoir
qui	PROrel	que
montoient	VERcjg	monter
la	DETdef	le
montaigne	NOMcom	montagne
que	PROrel	que
il	PROper	il
gardoient	VERcjg	garder
.	PONfrt	.

Il	PROper	il
lor	PROper	il
vont	VERcjg	aler
seure	ADJqua	sûr
,	PONfbl	,
ses	ADVgen.PROper	si
assalent	VERcjg	assaler
,	PONfbl	,
et	CONcoo	et
li	DETdef	le
pelerin	NOMcom	pèlerin
se	PROper	soi
defalent	VERcjg	défaillir
de	PRE	de
combatre	VERinf	combattre
tot	DETind	tot
li	DETdef	le
plusor	PROind	plusor
,	PONfbl	,
lor	DETpos	lor
avoir	VERinf	avoir
tendent	VERcjg	tendre
por	PRE	por
paour	NOMcom	peur
.	PONfrt	.

En	PRE	en
la	DETdef	le
compaigne	NOMcom	compagne
ot	VERcjg	avoir
un	DETndf	un
François	NOMpro	Français
,	PONfbl	,
chevalier	NOMcom	chevalier
et	CONcoo	et
preu	NOMcom	pro
et	CONcoo	et
courtois	ADJqua	courtois
,	PONfbl	,
qui	PROrel	que
au	PRE.DETdef	a
baron	NOMcom	baron
saint	ADJqua	saint
Jake	NOMpro	Jacque
aloit	VERcjg	aler
;	PONfbl	;
une	DETndf	un
soie	ADJpos	son
fille	NOMcom	fille
i	PROadv	i
menoit	VERcjg	mener
qui	PROrel	que
a	PRE	a
l'	DETdef	le
apostle	NOMcom	apôtre
s'	PROper	soi
ert	VERcjg	être
vouee	VERppe	vouloir
ains	PRE	ain
qu'	CONsub	que
ele	PROper	il
issist	VERcjg	issir
de	PRE	de
sa	DETpos	son
contree	NOMcom	contree
,	PONfbl	,
por	PRE	por
son	DETpos	son
ami	NOMcom	ami
qui	PROrel	que
mors	VERppe	mourir
estoit	VERcjg	estre
,	PONfbl	,
de	PRE	de
cui	PROrel	que
remese	VERppe	remanoir
ençainte	VERppe	enceindre
estoit	VERcjg	estre
.	PONfrt	.

Li	DETdef	le
chevaliers	NOMcom	chevalier
le	PROper	il
vaut	VERcjg	valoir
deffendre	VERinf	défendre
.	PONfrt	.

De	PRE	de
lui	PROper	il
ne	ADVneg	ne
caut	VERcjg	caler
a	PRE	a
aus	PROper	il
vif	ADJqua	vif
prendre	VERinf	prendre
,	PONfbl	,
ains	ADVgen	ains
l'	PROper	il
ocïent	VERcjg	ocire
,	PONfbl	,
sel	ADVgen.PROper	si
laissent	VERcjg	laisser
mort	NOMcom	mort
et	CONcoo	et
sa	DETpos	son
fille	NOMcom	fille
mainent	VERcjg	manoir
au	PRE.DETdef	a
port	NOMcom	port
.	PONfrt	.

Au	PRE.DETdef	a
roi	NOMcom	roi
Felis	NOMpro	Felis
l'	PROper	il
ont	VERcjg	avoir
presentee	VERppe	présenter
et	CONcoo	et
il	PROper	il
l'	PROper	il
a	VERcjg	avoir
forment	ADVgen	fortement
esgardee	VERppe	esgarder
.	PONfrt	.

Bien	ADVgen	bien
