"","text","obs_freq","exp_freq","p_value"
"86","F086_trBocusDurant_BnF-837",16,14.8625439919558,0.76066
"87","F087_trChanoinessesWatriquet_Ars-3525",4,10.0247360482655,0.04858
"88","F088_trDamesParisWatriquetDeCouvin_Ars-3525",7,15.3114127702363,0.02675
"89","F089_trDamesVit1_BnF-1593",4,6.43378582202112,0.33716
"90","F090_Tresces1Garin_Bern-354",15,15.6605329311212,0.86398
"91","F091_Tresces1Garin_BnF-12581",15,13.3663147310206,0.64529
"92","F092_Tresces2_BnF-19152",23,21.7950729009553,0.79104
"93","F093_unFemme100Chevaliers_BnF-25545",14,9.62574157868276,0.14682
"94","F094_Veuve_Nott-6",20,24.9870286576169,0.30237
"95","F095_VieillePalme_BnF-2173",NA,2.79296128707893,0.08579
"96","F096_VilainAsnier_BnF-19152",1,2.59346405228758,0.2791
"97","F097_VilainBailluelBodel_BnF-837",1,5.83529411764706,0.04125
"98","F098_VilainFarbuBodel_BnF-2168",7,6.78290598290598,0.92738
"99","F099_VilainMire_Berlin-257",27,19.2016088486677,0.06385
"100","F100_VilainOstelSire_Lyon-5495",5,5.28667672197084,0.90999
"101","F101_VilainParadis_Nott-6",10,8.62825540472599,0.6466
