"","X1","X2","X3","X4","X5","X6","X7"
"86","F086_trBocusDurant_BnF-837","et","a","que","si","de","li"
"87","F087_trChanoinessesWatriquet_Ars-3525","et","de","a","qui","si","tant"
"88","F088_trDamesParisWatriquetDeCouvin_Ars-3525","et","qui","de","s","si","c"
"89","F089_trDamesVit1_BnF-1593","et","qui","mes","je","a","par"
"90","F090_Tresces1Garin_Bern-354","et","si","qui","que","a","li"
"91","F091_Tresces1Garin_BnF-12581","et","que","qu","si","qui","li"
"92","F092_Tresces2_BnF-19152","et","mais","que","qui","lors","si"
"93","F093_unFemme100Chevaliers_BnF-25545","et","que","tant","li","qu","des"
"94","F094_Veuve_Nott-6","et","qui","si","il","mais","que"
"95","F095_VieillePalme_BnF-2173","si","et","la","qui","de","ersant"
"96","F096_VilainAsnier_BnF-19152","et","a","qui","devant","du","i"
"97","F097_VilainBailluelBodel_BnF-837","et","qui","mes","puis","de","n"
"98","F098_VilainFarbuBodel_BnF-2168","si","et","que","li","car","a"
"99","F099_VilainMire_Berlin-257","et","que","de","li","je","qui"
"100","F100_VilainOstelSire_Lyon-5495","et","si","qui","de","que","a"
"101","F101_VilainParadis_Nott-6","et","que","sains","çaiens","ne","qant"
