"","text","obs_freq","exp_freq","p_value"
"86","F086_trBocusDurant_BnF-837",15,11.0570135746606,0.22154
"87","F087_trChanoinessesWatriquet_Ars-3525",7,7.4579185520362,0.8745
"88","F088_trDamesParisWatriquetDeCouvin_Ars-3525",9,11.3909502262443,0.47099
"89","F089_trDamesVit1_BnF-1593",NA,4.78642533936652,0.02486
"90","F090_Tresces1Garin_Bern-354",19,11.6506787330317,0.0265
"91","F091_Tresces1Garin_BnF-12581",11,9.94389140271493,0.73019
"92","F092_Tresces2_BnF-19152",17,16.214479638009,0.84235
"93","F093_unFemme100Chevaliers_BnF-25545",NA,7.16108597285068,0.0069
"94","F094_Veuve_Nott-6",25,18.5891402714932,0.12242
"95","F095_VieillePalme_BnF-2173",5,2.07782805429864,0.0359
"96","F096_VilainAsnier_BnF-19152",1,1.92941176470588,0.57602
"97","F097_VilainBailluelBodel_BnF-837",3,4.34117647058823,0.53788
"98","F098_VilainFarbuBodel_BnF-2168",11,5.04615384615385,0.00801
"99","F099_VilainMire_Berlin-257",10,14.2850678733032,0.2426
"100","F100_VilainOstelSire_Lyon-5495",7,3.93303167420814,0.09778
"101","F101_VilainParadis_Nott-6",3,6.41900452488688,0.17156
