"","X1","X2","X3","X4","X5","X6","X7"
"87","F087_trChanoinessesWatriquet_Ars-3525","et","que","de","a","si","tant"
"88","F088_trDamesParisWatriquetDeCouvin_Ars-3525","que","et","si","le","de","ne"
"89","F089_trDamesVit1_BnF-1593","que","et","mais","il","je","ce"
"90","F090_Tresces1Garin_Bern-354","que","et","si","le","ne","a"
"91","F091_Tresces1Garin_BnF-12581","que","et","le","si","a","ne"
"92","F092_Tresces2_BnF-19152","que","et","le","mais","ne","lors"
"93","F093_unFemme100Chevaliers_BnF-25545","que","et","le","tant","ainsi","de"
"94","F094_Veuve_Nott-6","que","et","si","il","je","mais"
"95","F095_VieillePalme_BnF-2173","le","et","si","de","que","a"
"96","F096_VilainAsnier_BnF-19152","et","que","a","de.le","de","devant"
"97","F097_VilainBailluelBodel_BnF-837","et","que","de","cel","je","le"
"98","F098_VilainFarbuBodel_BnF-2168","que","si","et","le","car","a"
"99","F099_VilainMire_Berlin-257","que","et","le","de","je","a"
"100","F100_VilainOstelSire_Lyon-5495","et","que","de","si","a","car"
"101","F101_VilainParadis_Nott-6","que","et","ne","le","saint","si"
